dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,7,8,5,23.992164913600938,23.988911460000963,24.214732383401135,24.232485097481113,0.33346220867092,0.3334874120211404,40,0,0,0,0.9101904503841052,7.2785217038349,0.9098152129793625,40.0,23.937704047650186,23.93722535449979,24.193306072950055,24.206194245440184,0.18421438248882022,23.629304137000872,24.20931752300021,4.0
mysql,1.0,7,16,5,26.200026491000244,26.27874231200076,26.364605213199685,26.369896388239578,0.6107105914254546,0.6088571443045526,80,0,0,0,0.8334892102456981,13.330057136515503,0.8331285710322189,80.0,26.094866317812535,26.16443083050035,26.300231006251032,26.309682369798864,0.16549092022619827,25.79988830900038,26.311549834999823,4.0
mysql,1.0,8,1,5,27.61591824379975,25.625192702998906,37.772598632999866,39.14457657299994,0.038412765677220975,0.0390240967781276,5,0,0,0,1.0,1.0,1.0,5.0,27.604456450399812,25.613765090000012,37.76132361759955,39.13335877951962,7.8250613945916845,19.93745335499989,39.47636756999964,2.0
mysql,1.0,8,4,5,21.315494627799854,20.933696363001214,22.384227611400274,22.590422324680404,0.1878472409819612,0.1910794888125782,20,0,0,0,1.2955795174362423,4.890229528392324,1.222557382098081,20.0,21.29379624059993,20.91234700950008,22.620682574750752,22.622546470949672,0.710017379104861,20.756187037999556,22.623012444999404,2.0
mysql,1.0,8,8,5,19.672977731199715,19.702878813999632,20.83927522299928,20.878095274999218,0.4076810952631981,0.4060320360045914,40,0,0,0,1.4037487675291367,10.613166953114124,1.3266458691392655,40.0,19.633254078425033,19.663056682000388,20.850282012451043,20.859646780110033,1.0024137600498042,18.43480289999934,20.86286874600046,2.0
mysql,1.0,8,16,5,25.057887394800126,25.05415270000049,25.173148957999366,25.19008323719929,0.6385282192125047,0.6386166872847266,80,0,0,0,1.1020848569033976,16.622812962180333,1.0389258101362708,80.0,24.972255421562544,24.96452526449957,25.133725223148577,25.14498600163064,0.08946579281170014,24.819399672000145,25.164582507000887,2.0
mysql,1.0,9,1,5,107.5326961519997,107.48184571399906,111.19275169279972,111.69121990495965,0.00930575714533742,0.0093038967963103,5,0,0,0,1.0,1.0,1.0,5.0,107.52107005499965,107.47058956199908,111.18121640120043,111.6797454538405,3.118440777172526,103.30357483099942,111.80437771700052,175.0
mysql,1.0,9,4,5,114.33734321500015,113.61382956600028,116.28748802840018,116.54888136488013,0.03498872856779204,0.0352069815380734,20,0,0,0,0.9404862237335271,3.7599013192948925,0.9399753298237231,20.0,114.31638536230021,113.59340819350018,116.5930269052499,116.59356599225035,1.3410338648052007,113.13699149400054,116.59370076400046,175.0
mysql,1.0,9,8,5,112.5767877403996,112.62929921800242,113.08500882199804,113.17303782519781,0.07106335887084876,0.071029475061506,40,0,0,0,0.9551942128600125,7.6364940284794045,0.9545617535599256,40.0,112.53647890217499,112.58622867949998,113.15756931334909,113.165358921049,0.37153506043261647,112.0912418020016,113.16836457499812,175.0
mysql,1.0,9,16,5,124.42557898280066,124.51558789200136,125.0300929568002,125.0648018201602,0.12859309314643141,0.128497967771534,80,0,0,0,0.864233038183121,13.818659904622809,0.8636662440389256,80.0,124.34183334321251,124.42811346050075,125.00202032100113,125.0271647755494,0.512972393065484,123.60884041600002,125.03883817499808,175.0
mysql,1.0,10,1,5,12.651489436799602,12.213571833999596,14.064478381201479,14.240435257842037,0.07948058383595442,0.08187613038933,5,0,0,0,1.0,1.0,1.0,5.0,12.63933505980167,12.20174675599992,14.05240857740282,14.22843691068294,1.076975359505035,11.735202449002829,14.27244399400297,38263.0
mysql,1.0,10,4,5,22.583459071600373,21.96756286299933,25.357364082599815,25.36619615251984,0.17933903432835305,0.182086653168856,20,0,0,0,0.5602104352875406,2.256387983994978,0.5640969959987445,20.0,22.43077043770081,21.65880540500075,25.33921832970045,25.34317558434057,2.6098490538415957,18.600206615999923,25.3441648980006,38263.0
mysql,1.0,10,8,5,47.115243600999385,47.24008029999823,49.11810934140085,49.316564374681036,0.17006500272683317,0.1693477222984377,40,0,0,0,0.2685222121303273,2.139705001133891,0.26746312514173637,40.0,46.95217482374992,47.135506627499126,49.30659580284955,49.32899454994935,1.865224924425497,43.584873333998985,49.34238492499935,38263.0
mysql,1.0,10,16,5,137.50886147279888,140.71547412699874,148.57520708399971,149.81374501439947,0.11715092002381451,0.1137046234556951,80,0,0,0,0.09200490282077013,1.4739564604307707,0.09212227877692317,80.0,135.93407814608753,140.45090790700124,149.97855705765068,150.02251275154066,11.849239003254775,108.78938194799775,150.0403987259997,38263.0
mysql,1.0,11,1,5,5.94907000559906,6.1951459369993245,7.588668133198371,7.709579165837349,0.1809938090170388,0.1614166978743295,5,0,0,0,1.0,1.0,1.0,5.0,5.937244672999805,6.183629414001189,7.576161394001247,7.69687384520148,1.6231737935733812,3.539642178999202,7.727051958001539,979.0
mysql,1.0,11,4,5,2.50633752639842,2.218599164996704,3.5154956329992273,3.621715084199677,1.717485277753429,1.8029394687913096,20,0,0,0,2.373610873611189,9.489193509330171,2.372298377332543,20.0,2.484621183049967,2.197135744001571,3.6274506834512064,3.6285361678904517,0.7259566639443787,1.7977504340015005,3.628807539000263,979.0
mysql,1.0,11,8,5,1.8349411937997502,1.863813927000592,1.8815720831982619,1.8840250494379145,4.362671068602457,4.292273967967542,40,0,0,0,3.2421039026759626,24.10397953551966,3.0129974419399574,40.0,1.7822825577249204,1.7986666034994414,1.8476605394005674,1.8577735735991519,0.05619295782489621,1.6731779490000918,1.862816959997872,979.0
mysql,1.0,11,16,5,2.140958459400281,2.14602901300168,2.2142543617992487,2.2261374219589927,7.477840386597217,7.455630796724682,80,0,0,0,2.7786947380873035,41.31544845212497,2.5822155282578105,80.0,2.0256586105125733,2.041214051498173,2.1533657936506643,2.1920152738994876,0.08797617243018947,1.7516246870000032,2.1990875829978904,979.0
mysql,1.0,12,1,5,15.008319900599599,15.01615079399926,15.141623667999374,15.148689265599678,0.06663330354742286,0.0665949625652147,5,0,0,0,1.0,1.0,1.0,5.0,14.996714612000506,15.004721295001218,15.129875203200209,15.136907711840177,0.12317599603335756,14.864663522999765,15.138665839000168,2.0
mysql,1.0,12,4,5,17.635829578200354,17.67531742099891,17.806985249400896,17.807414384280854,0.22683212364173633,0.2263042809770339,20,0,0,0,0.8510129809346412,3.4041854683116544,0.8510463670779136,20.0,17.614529451300587,17.654224130999864,17.787209987297683,17.788651605458146,0.17462627929002839,17.343120661000285,17.78901200999826,2.0
mysql,1.0,12,8,5,18.050093842400383,18.03560933399785,18.191398081201623,18.21321946744123,0.44322378451189104,0.4435669375982587,40,0,0,0,0.8314815441759346,6.651685582367218,0.8314606977959023,40.0,18.01065681510054,17.993428206000317,18.182992793801894,18.192121111120723,0.09798851405783965,17.901229466002405,18.19499103999988,2.0
mysql,1.0,12,16,5,23.988749012999325,23.989285143001325,24.07735843379851,24.090530773158388,0.6669840122986443,0.6669644345224629,80,0,0,0,0.6256399569842805,10.009769541501907,0.6256105963438692,80.0,23.904031807812498,23.89124161499967,24.03051190840215,24.038656754201437,0.0692045252793071,23.776646821999748,24.04829753499871,2.0
mysql,1.0,13,1,5,152.27870260799972,151.58076301000256,176.18191778739856,178.33462846627808,0.006666646761709261,0.0065971432003809,5,0,0,0,1.0,1.0,1.0,5.0,152.26741950740035,151.56979352599956,176.1707430012022,178.32343082504215,20.76850684374073,126.30684701899736,178.86160278100215,41.0
mysql,1.0,13,4,5,113.42360419460019,110.55179693600076,122.92336101620022,125.15930916884012,0.03536402901569396,0.0361821346270439,20,0,0,0,1.3425662470285822,5.304620190589936,1.326155047647484,20.0,113.40147918465027,110.53090856000017,125.6955781541006,125.69746529642082,6.36109897244837,109.45150589400146,125.69793708200086,41.0
mysql,1.0,13,8,5,110.16826397240075,110.0900935440004,110.70280349440145,110.73870922848145,0.07261724123160465,0.0726677554942996,40,0,0,0,1.3822374712752887,10.892618707307408,1.361577338413426,40.0,110.1223477136753,110.03606523600138,110.71117418525118,110.71311777948188,0.4232994020854579,109.54895183999906,110.71379952600182,41.0
mysql,1.0,13,16,5,123.36769286580093,123.30849909600148,123.73953448360189,123.82182232392181,0.12969412123582472,0.1297558571979961,80,0,0,0,1.2343483052215956,19.45417627055621,1.2158860169097632,80.0,123.27527463930019,123.19860953399984,123.75685569690104,123.80075236558147,0.2487596851240673,122.9891283149991,123.80983096500132,41.0
mysql,1.0,14,1,5,14.50808970739963,14.43985383299878,15.990607729803013,16.134506055563396,0.0693495313249319,0.0692527785644715,5,0,0,0,1.0,1.0,1.0,5.0,14.496506741999474,14.428096032999749,15.979035333598585,16.122936114718176,1.267917834641517,12.92926961700141,16.158911309998075,1.0
