dbms,sf,query_id,duration_seconds,threads,repetitions,mean_wall_s,total_executions,total_success,total_errors,mean_throughput_qps,median_throughput_qps,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
oracle,1.0,11,120,1,1,120.136569631999,280,280,0,2.330680831471157,2.330680831471157,280.0,0.20541636134652694,0.20544011450328975,0.20946361229980537,0.2126145225025538,0.003044160425762844,0.19198056699679,0.2218360200058668,979.0
oracle,1.0,12,120,1,1,120.43130143999588,74,74,0,0.6144581941337737,0.6144581941337737,74.0,1.4008318674992501,1.4070548809977481,1.4693827075949228,1.495288246258933,0.049240518709100144,1.305141885000921,1.526060255993798,2.0
oracle,1.0,13,120,1,1,120.16445133199886,542,0,542,0.0,0.0,,,,,,,,,
oracle,1.0,14,120,1,1,120.38787712900375,177,177,0,1.4702477045120792,1.4702477045120792,177.0,0.4449158789159034,0.4395894920016872,0.4493264866017853,0.5297435983631322,0.052443513057187044,0.4228825200043502,1.0574003949950566,1.0
oracle,1.0,15,120,1,1,120.15944344000307,527,0,527,0.0,0.0,,,,,,,,,
oracle,1.0,16,120,1,1,120.42552183200314,238,238,0,1.976325253811368,1.976325253811368,238.0,0.2742977457980617,0.27183642000090913,0.2886691288502333,0.2921780571404815,0.008367337233646497,0.2547292249946622,0.299091414999566,18294.0
oracle,1.0,17,120,1,1,120.12443960100065,306,306,0,2.547358397811423,2.547358397811423,306.0,0.1598578629247426,0.15965306199723264,0.16411969550244976,0.16666918640185027,0.002507569765944118,0.1504524369956925,0.1722879820008529,1.0
oracle,1.0,18,120,1,1,122.76114181400044,21,21,0,0.171063902548396,0.171063902548396,21.0,5.605223311761663,4.68912771500618,8.791939084003388,8.937179843998456,1.72026885079186,4.094906698002887,8.973490033997223,9.0
oracle,1.0,19,120,1,1,120.23046587299903,238,238,0,1.9795315461174572,1.9795315461174572,238.0,0.27077623177322824,0.2704885030034347,0.2759378725535498,0.2826019567006733,0.00411382378888098,0.2559258370019961,0.2993434300005901,1.0
oracle,1.0,20,120,1,1,120.42390639799852,143,143,0,1.1874718590126778,1.1874718590126778,143.0,0.6089118636154527,0.6080646589980461,0.6205740318000608,0.6272633611841594,0.0077189677649368744,0.5933261679965653,0.6516459839986055,162.0
oracle,1.0,21,120,1,1,121.76591181800175,67,67,0,0.5502360964548272,0.5502360964548272,67.0,1.5870418328655678,1.585244755995518,1.6756033711018972,1.6899840738599596,0.05324145764571608,1.4948396120016696,1.7054526780048036,377.0
oracle,1.0,22,120,1,1,120.09899195700564,528,0,528,0.0,0.0,,,,,,,,,
postgres,1.0,1,120,1,1,122.48325432399996,47,47,0,0.3837259244898311,0.3837259244898311,47.0,2.5764246704468166,2.5741240850002214,2.5952703457998725,2.597288435319906,0.01132842543046133,2.55524873100012,2.597326780000003,4.0
postgres,1.0,2,120,1,1,120.18217995199984,382,382,0,3.178507829967545,3.178507829967545,382.0,0.2850382251387293,0.2842546495000988,0.2904197696998608,0.3046100151897872,0.004282688083107166,0.2795450789999449,0.3323780759997135,446.0
postgres,1.0,3,120,1,1,120.20344391899972,245,245,0,2.038211152794388,2.038211152794388,245.0,0.46172997032243035,0.4607126249998146,0.4692620247997183,0.48638528372008294,0.00556244774893369,0.4535924890001297,0.4883533950001038,11694.0
postgres,1.0,4,120,1,1,120.05087101499976,478,478,0,3.981645413803589,3.981645413803589,478.0,0.22226520887238427,0.22187827600009763,0.2252513861502393,0.2402590343701649,0.0035122502241115403,0.1975044999999227,0.2452529880001748,5.0
postgres,1.0,5,120,1,1,120.33283087100016,265,265,0,2.202225262065734,2.202225262065734,265.0,0.4248944053660537,0.4243231000000378,0.43175223660000484,0.4445677069199701,0.004576902044252762,0.4160004969999136,0.4462115070000436,5.0
postgres,1.0,6,120,1,1,120.20075661200008,231,231,0,1.9217849081071292,1.9217849081071292,231.0,0.49115826115150835,0.4898080870002559,0.5003134124999633,0.5122525276999568,0.004979856932390546,0.4847279159998834,0.516046140999606,1.0
postgres,1.0,7,120,1,1,120.51605748899964,226,226,0,1.8752687791884384,1.8752687791884384,226.0,0.5043907835840734,0.5036345230000734,0.5161777649999522,0.5242322549999017,0.005043172062155758,0.4959709479999219,0.5278210380001838,4.0
