dbms,sf,query_id,threads,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,1.0,12,8,40,18.01065681510054,17.993428206000317,18.182992793801894,18.192121111120723,0.09798851405783965,17.901229466002405,18.19499103999988,2.0
mysql,1.0,12,16,80,23.904031807812498,23.89124161499967,24.03051190840215,24.038656754201437,0.0692045252793071,23.776646821999748,24.04829753499871,2.0
mysql,1.0,13,1,5,152.26741950740035,151.56979352599956,176.1707430012022,178.32343082504215,20.76850684374073,126.30684701899736,178.86160278100215,41.0
mysql,1.0,13,4,20,113.40147918465027,110.53090856000017,125.6955781541006,125.69746529642082,6.36109897244837,109.45150589400146,125.69793708200086,41.0
mysql,1.0,13,8,40,110.1223477136753,110.03606523600138,110.71117418525118,110.71311777948188,0.4232994020854579,109.54895183999906,110.71379952600182,41.0
mysql,1.0,13,16,80,123.27527463930019,123.19860953399984,123.75685569690104,123.80075236558147,0.2487596851240673,122.9891283149991,123.80983096500132,41.0
mysql,1.0,14,1,5,14.496506741999474,14.428096032999749,15.979035333598585,16.122936114718176,1.267917834641517,12.92926961700141,16.158911309998075,1.0
mysql,1.0,14,4,20,12.753681221000079,12.551214047500252,14.037239253099324,14.03745281462041,0.7937762352617435,11.940943854002398,14.037506205000682,1.0
mysql,1.0,14,8,40,11.487059521575157,11.42753421099951,11.690626018299374,11.700517725231476,0.114616953516298,11.362009643999045,11.702000015000522,1.0
mysql,1.0,14,16,80,12.680757221375007,12.701195146999453,12.903409620052479,12.907155872338773,0.16154304141662532,12.408387114002837,12.907857829999555,1.0
mysql,1.0,15,1,5,0.009836165200249481,0.0082079999992856,0.013569475198892119,0.014050930238590744,0.002802639282993051,0.0076147540021338,0.0141712939985154,0.0
mysql,1.0,15,4,5,0.009028447599848699,0.009087113001442,0.00950753679935586,0.009517094559560051,0.0005021531241141087,0.0083178669992776,0.0095194839996111,0.0
mysql,1.0,15,8,5,0.01164497479985578,0.0122377640000195,0.01244090579857576,0.012463172358111391,0.0012763404693929058,0.0094090509992383,0.0124687389979953,0.0
mysql,1.0,15,16,5,0.0129840716013859,0.013112620999891,0.01356535560262268,0.013602415922650777,0.0006327191410881256,0.0119776530009403,0.0136116810026578,0.0
mysql,1.0,16,1,5,3.7682313095996505,3.7041159060026985,4.590461996399244,4.695162708079588,0.672672642659914,2.9475950359992567,4.721337885999674,18294.0
mysql,1.0,16,4,20,2.5922055638497112,2.523972420998689,3.2992750675519344,3.300717099911126,0.4340834744236926,2.1168158759974176,3.301077608000924,18294.0
mysql,1.0,16,8,40,3.6829973455747678,3.6816110759991716,3.7873150887005975,3.793160866341423,0.0770352517773752,3.4822896419973404,3.793895195001824,18294.0
mysql,1.0,16,16,80,7.120609454212809,7.135267424500853,7.2877344693517445,7.34122530564171,0.12841920596316395,6.774142287998984,7.367489791002299,18294.0
mysql,1.0,17,1,5,1.5657877053999982,1.6169310139994195,1.7770383482013132,1.8061886120418786,0.19970640569772558,1.272027712999261,1.81347617800202,1.0
mysql,1.0,17,4,20,1.2133906204506275,1.3556756060024782,1.6593451688515415,1.6604271785702074,0.4086962080266998,0.476885158001096,1.660697680999874,1.0
mysql,1.0,17,8,40,0.9269611268749941,0.9335053869999683,0.9785048385516348,0.9857363040110795,0.0462639863302036,0.8215272269990237,0.98926191999999,1.0
mysql,1.0,17,16,80,1.798453130087546,1.8112320595009805,1.8928924935480607,1.9169930383484464,0.07549062516303283,1.4002291479991982,1.917364839999209,1.0
mysql,1.0,18,1,5,15.10771044840003,15.112401207003131,15.277049654799338,15.302521535759151,0.13536063059021544,14.971176821996778,15.308889505999105,9.0
mysql,1.0,18,4,20,17.519210186949568,17.54409948149987,17.697637900997325,17.698724624996938,0.11283746527563455,17.400542090999807,17.698996305996843,9.0
mysql,1.0,18,8,40,18.914002857574996,18.873791275000258,19.108170828449147,19.119201749489765,0.11459729702437504,18.762373010999,19.119352370998968,9.0
mysql,1.0,18,16,80,23.597853677074955,23.57949661549901,23.760636724549478,23.78357408344051,0.08478285539807119,23.447369450001133,23.78445996099981,9.0
mysql,1.0,19,1,5,2.9615188351999677,2.9427049799996894,3.1870741662016373,3.2167808956414228,0.17958076218485275,2.767768752997654,3.2242075780013693,1.0
mysql,1.0,19,4,20,2.8375132840503285,2.87402004100295,3.0102060348011945,3.01162174455847,0.1290392271669851,2.6529769959997798,3.0119756719977886,1.0
mysql,1.0,19,8,40,2.582708136650399,2.586990537998645,2.61478426190115,2.61703861197082,0.02308044365874269,2.545324796999921,2.6180961659993045,1.0
mysql,1.0,19,16,80,2.939281032312465,2.934749316000307,3.0397211973488085,3.063596596321986,0.05462843557383113,2.856817266001599,3.064856561002671,1.0
mysql,1.0,20,1,5,12.32777644719972,12.258188967000024,12.565232518800622,12.583500654160598,0.19505195510264345,12.131854753999503,12.588067688000592,162.0
mysql,1.0,20,4,20,13.582113221750296,13.535819111002638,13.77074584569873,13.772028401938915,0.1117876245796227,13.45734712200283,13.77234904099896,162.0
mysql,1.0,20,8,40,13.989385058174866,13.991129048499715,14.041096795548764,14.045511191600745,0.035483480459756446,13.933734062997246,14.047418393001864,162.0
mysql,1.0,20,16,80,15.340681963337511,15.347248405500068,15.407928117800292,15.417410955609958,0.04637110586456216,15.243552577001536,15.41795861600258,162.0
mysql,1.0,21,1,5,25.890360269200027,25.89607810000234,26.09747141799962,26.13532371079971,0.1695836346515514,25.67616371999975,26.14478678399973,377.0
mysql,1.0,21,4,20,32.01966439524968,31.84179264950035,33.0913695701016,33.09446534042065,0.5568292754068568,31.617957655998907,33.09523928300041,377.0
mysql,1.0,21,8,40,34.039850989975,33.493107526999665,36.07590733800062,36.08428411120843,1.0407405474014535,33.34714149100182,36.08857171699856,377.0
mysql,1.0,21,16,80,52.33382417631246,52.34215336700072,52.49816433654796,52.53048460677019,0.10491949813122,52.166260620000685,52.53834671599907,377.0
mysql,1.0,22,1,5,0.49307611900003395,0.6751566710008774,0.7428032834017358,0.7442830710821727,0.30969571610169877,0.1547703219985123,0.7446530180022819,3.0
