run_id,timestamp_utc,experiment,dbms,sf,query_id,duration_seconds,threads,wall_seconds,executions,success,errors,throughput_qps
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,1,120,1,120.62220044099377,36,36,0,0.29845252257365806
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,2,120,1,120.01679068700469,243,243,0,2.0247166967972574
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,3,120,1,120.1090572480025,28,28,0,0.23312147011682302
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,4,120,1,120.03097337100189,2085,0,2085,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,5,120,1,120.04581170500023,2015,0,2015,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,6,120,1,120.01938754500588,2073,0,2073,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,7,120,1,121.34752848999051,44,44,0,0.3625949415494638
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,8,120,1,121.03957283600175,71,71,0,0.5865850179114471
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,9,120,1,120.32958791599958,27,27,0,0.2243837153240176
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,10,120,1,120.02420747699216,1927,0,1927,0.0
d9b3a6b1-544d-4afa-a93c-a479650062af,2026-06-13T17:39:32.597384+00:00,throughput_all_queries_fixed_time,sqlserver,1.0,11,120,1,120.23753946200304,200,200,0,1.66337402524112
