dbms,sf,query_id,threads,repetitions,mean_wall_s,median_wall_s,p95_wall_s,p99_wall_s,mean_throughput_qps,median_throughput_qps,total_success,total_errors,cache_before_failures,cache_after_failures,wall_speedup,throughput_speedup,efficiency,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows
mysql,10.0,9,16,20,143.32464398300218,142.7779532315035,147.77797772511843,149.02762915861794,0.11166204702135303,0.1120621343206197,320,0,0,0,0.8432582560452657,13.481663484127502,0.8426039677579689,320,143.24374924265157,142.70246070201392,147.7349860367249,149.27716469037057,2.2675486057854957,140.4969824019936,149.29767650400754,175.0
mysql,10.0,10,1,20,14.535181296849624,14.463323541509451,15.266018774136318,17.134384308431176,0.06899827782174911,0.06914149794796405,20,0,0,0,1.0,1.0,1.0,20,14.522773981999489,14.450804064486874,15.252650124262438,17.122369479250043,0.8502311896393686,13.484815675008576,17.58979931799695,38263.0
mysql,10.0,10,4,20,27.46216956410499,27.529578798479633,29.819289323056005,30.078840967011057,0.1463980194950943,0.1453000018309554,80,0,0,0,0.5292801525720728,2.121763384780422,0.5304408461951055,80,27.418949639974745,27.48084945647861,29.793342026163007,30.110980635489103,1.9622046471315029,24.404439661011565,30.120107841969,38263.0
mysql,10.0,10,8,20,54.201217974192694,51.4609271264635,67.05329270305519,68.08132720937661,0.15032269895899636,0.15546703937575318,160,0,0,0,0.26817075040214755,2.17864421699541,0.27233052712442624,160,54.053230866113516,51.31169848149875,66.92887032929866,68.26395148216281,7.631824261093385,44.64763162296731,68.3030773269711,38263.0
mysql,10.0,10,16,20,452.7895142008463,150.885219353484,1375.3124656167026,1381.4523602393392,0.08161665621401934,0.1063209667002975,320,0,0,0,0.03210140880250635,1.1828796136748323,0.07392997585467702,320,435.8436186499346,148.7837741455005,1353.8272628067411,1382.6395146848663,481.3254327656149,111.85650113795418,1382.8744652580351,38263.0
mysql,10.0,11,1,20,3.199327461753273,1.8900826455210336,8.334968765880332,8.84565502035606,0.42678667683964167,0.5291913473064968,20,0,0,0,1.0,1.0,1.0,20,3.18750382605067,1.8782509439915887,8.323177812458017,8.833033060901798,2.3215833067774114,1.6490273830131628,8.960496873012744,979.0
mysql,10.0,11,4,20,1.9144968960987172,1.9073344224889297,1.9774504319415427,1.9979808280081488,2.0899085446362937,2.09716879380525,80,0,0,0,1.6711061105780483,4.896845796855893,1.2242114492139733,80,1.8916919711220543,1.8848977164889222,1.9577057526650605,1.9821435364417266,0.03297499056013784,1.8486024049925616,1.982192032970488,979.0
mysql,10.0,11,8,20,1.9607441399944947,1.943574445467675,2.0396534643601627,2.0796750544849782,4.082957640959067,4.11613220288389,160,0,0,0,1.6316904365514289,9.566741096965343,1.1958426371206679,160,1.9074376097916683,1.9037192194955423,2.006846606373437,2.0502136456005973,0.06037929192833682,1.7523153820075097,2.061865054012742,979.0
mysql,10.0,11,16,20,2.3188889789540554,2.306653768493561,2.451688859483693,2.455222653525416,6.905040271656313,6.936464830789329,320,0,0,0,1.3796811709357226,16.17913736855186,1.0111960855344913,320,2.206366476624498,2.2076615605037664,2.358572744275443,2.3949810582370263,0.09174169533998608,1.9158074660226705,2.4216359780402854,979.0
mysql,10.0,12,1,20,17.595910559949697,17.39352654799586,18.42615748601675,18.545680086798388,0.056870238990998,0.0574929468047983,20,0,0,0,1.0,1.0,1.0,20,17.584188780150726,17.38156927100499,18.414517822579363,18.534006080477848,0.4763348152806237,17.058913846034557,18.56387814495247,2.0
mysql,10.0,12,4,20,20.16384127656056,20.145010516018374,20.264048753562385,20.45098898672033,0.19837920647966206,0.1985603332849337,80,0,0,0,0.872646750121171,3.488278051918571,0.8720695129796427,80,20.141822353788303,20.122945512004662,20.243907891720298,20.478346209839223,0.09509430784817342,20.005338673014197,20.4805429999833,2.0
mysql,10.0,12,8,20,21.098333088107758,21.076584401511354,21.24620392351062,21.26862434151699,0.3791828815810696,0.37956814813072975,160,0,0,0,0.8339952965226325,6.667509901639248,0.833438737704906,160,21.058760852097112,21.036597190977773,21.220851522259185,21.245214972276592,0.08505693079705368,20.899182354973163,21.248189125966743,2.0
mysql,10.0,12,16,20,26.27640948924236,26.279646920535015,26.423383992811427,26.45839304014924,0.6089192188668495,0.6088370623857116,320,0,0,0,0.6696466869704369,10.707168277651082,0.6691980173531926,320,26.19157614392079,26.18626502051484,26.36657615445729,26.413358597137268,0.10116529867325422,25.98207936901599,26.43189428996993,2.0
