dbms,sf,query_id,executions,mean_latency_s,median_latency_s,p95_latency_s,p99_latency_s,std_latency_s,min_latency_s,max_latency_s,mean_rows,attempts,errors,cache_before_failures,cache_after_failures
sqlserver,10.0,2,10.0,0.3916933507891372,0.3891342270071618,0.407523230073275,0.40888719877810215,0.009265683793456153,0.3810440609813668,0.4092281909543089,468.0,10,0,0,0
sqlserver,10.0,3,10.0,4.2168392349849455,4.213103577989386,4.240944488285459,4.252566485634889,0.01505231504499172,4.200318434974179,4.255471984972246,11507.0,10,0,0,0
sqlserver,10.0,4,10.0,3.96900345980539,3.9726167210028507,3.9841032142634503,3.98459083969472,0.015379434976767173,3.933948428020813,3.984712746052537,5.0,10,0,0,0
sqlserver,10.0,5,10.0,3.4656258877017536,3.4628200535080396,3.479467781604035,3.480428467526799,0.009619362382819173,3.454361381009221,3.48066863900749,5.0,10,0,0,0
sqlserver,10.0,6,10.0,3.2466711422021035,3.251940046000527,3.2626494247466327,3.2650117105152456,0.016528870539755203,3.2199158259900287,3.265602281957399,1.0,10,0,0,0
sqlserver,10.0,7,10.0,2.568601112294709,2.5668264549749438,2.6138161524344468,2.619954742466216,0.03977399264039162,2.5261610400048085,2.6214893899741583,4.0,10,0,0,0
sqlserver,10.0,8,10.0,1.5874746594228781,1.5887128525064327,1.6027915622515139,1.6040558804373724,0.012720587731769428,1.566169707046356,1.6043719599838369,2.0,10,0,0,0
sqlserver,10.0,9,10.0,4.361425649002195,4.358874350989936,4.395539206129615,4.402282342017279,0.020113911681622444,4.33794359001331,4.403968125989195,175.0,10,0,0,0
sqlserver,10.0,10,10.0,4.21159510910511,4.209499096032232,4.232880876437411,4.236365647295607,0.0146464264675966,4.190301413007546,4.237236840010155,37859.0,10,0,0,0
sqlserver,10.0,11,10.0,0.6717855162976776,0.674957387993345,0.6886980711860815,0.690961583078024,0.01474802203850347,0.6431672559701838,0.6915274610510096,22489.0,10,0,0,0
sqlserver,10.0,12,10.0,3.9816374843008817,3.9791645900113504,4.002848685905337,4.01104564037174,0.014807459936950545,3.9567057309905063,4.0130948789883405,2.0,10,0,0,0
sqlserver,10.0,13,10.0,0.7282067794003524,0.7122760639758781,0.7686134070798288,0.7777329670579638,0.025557712586305483,0.7061781230149791,0.7800128570524976,42.0,10,0,0,0
sqlserver,10.0,14,10.0,3.3623512293968814,3.3583185594761744,3.408622991284938,3.4307268638612003,0.030060787327166903,3.3283115380327217,3.436252832005266,1.0,10,0,0,0
sqlserver,10.0,15,10.0,3.2874131432909053,3.2799382239754777,3.316530880058417,3.3173909744259436,0.021474443046794058,3.26280632102862,3.317605998017825,1.0,10,0,0,0
sqlserver,10.0,16,10.0,0.39604230860131795,0.3824883615016006,0.45308737081650174,0.4608252525742864,0.030347215711984142,0.3747581399511546,0.4627597230137326,18302.0,10,0,0,0
sqlserver,10.0,17,10.0,1.4001477551995776,1.385825526987901,1.4577212727366713,1.466066362526617,0.03477444486830626,1.364377238031011,1.4681526349741034,1.0,10,0,0,0
sqlserver,10.0,18,10.0,3.347714474488748,3.346257811470423,3.371769649887574,3.3744648827664787,0.01910416600100682,3.3232421999564394,3.375138690986205,9.0,10,0,0,0
sqlserver,10.0,19,10.0,3.3880225820059424,3.3577030105225276,3.5482816461968465,3.6556595532415663,0.10594568945967561,3.32706582400715,3.6825040300027463,1.0,10,0,0,0
sqlserver,10.0,20,10.0,2.6758864493924195,2.6663669319823384,2.710241951060016,2.71163339819992,0.02292115050244983,2.653797697974369,2.711981259984896,171.0,10,0,0,0
